what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381668355416
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1381668376627
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381668381267
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381668381405
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381668385912
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381668387513
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381668389271
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381668390389
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381668395857
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381668406585
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1381668407505
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1381668413615
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1381668418971
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1381668422529
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1381668430214
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1381668436981
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381668445678
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381668450573
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1381668454109
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1381668454511
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1381668455037
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381668466462
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381668468377
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381668469430
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381668472190
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381668478772
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381668578429
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1381668587293
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1381668594278
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1381668603655
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1381668625330
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.format",1381668626116
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1381668628594
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381668638405
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381668772447
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1381668786192
